"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U11,U5,U10,U4,U14,U8,U9,U15,U18,U12,U6,U19,U17,U13,U7,U16,U4,U10,U5,U11,U6,U12,U18,U19,U7,U8,U9,U13,U14,U15,U16,U17";"term";32;"term";;;
2;"J2,J1,J2";"conn";3;"Conn";;;
3;"C7,C9,C10,C8,C2,C3,C4,C5,C6,C11,C12,C13";"C_0402";12;"10n";;;
4;"C47,C29,C58,C42,C50,C45,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C43,C44,C46,C48,C49,C51,C52,C53,C54,C55,C56,C57,C59,C60,C61,C62,C63,C64,C65,C66";"C_0402";52;"2.2u";;;
5;"FE2,FE1,FE4,FE3";"WirebondPads";4;"FE-I4B";;;
6;"U1,U2";"Power_Pad";2;"Solder_Pad";;;
7;"R7,R5,R6,R8";"R_0402";4;"0";;;
8;"C14,C67,C68,C69,C70";"C_0603";5;"10u";;;
9;"R4,R2,R3";"R_0603";3;"10k";;;
10;"R9,R10,R11,R12";"R_0402";4;"100";;;
11;"R13,R16,R19,R22";"R_0603";4;"10m";;;
12;"R14,R15,R17,R18,R20,R21,R23,R24,R1";"R_0402";9;"~";;;
13;"C1";"C_1206";1;"1n";;;
14;"U3";"HV";1;"HV";;;
